"group";"sex";"nationality";"age";"house_size";"A";"single";"married";"separated";"widowed";"divorced";"edu0";"edu1";"edu2";"edu3";"y";"p_score"
12;1;1;60;3;1;0;1;0;0;0;0;0;1;0;10,1492923863934;0,994737066706783
12;1;1;57;4;1;0;1;0;0;0;0;0;1;0;9,72768072871142;0,908106830037767
12;1;1;63;2;1;0;1;0;0;0;0;0;0;1;10,0797351446813;0,983056556708679
12;1;1;42;3;1;0;1;0;0;0;0;0;1;0;9,38069243095403;0,932634516914885
12;1;1;67;1;1;0;0;0;1;0;0;1;0;0;7,04315991598834;0,964891838543626
12;1;1;65;3;1;0;1;0;0;0;0;0;0;1;10,199416773576;0,974409567596879
12;1;1;76;2;1;0;1;0;0;0;0;1;0;0;9,85268536543039;0,911576916027795
12;1;1;77;2;1;0;1;0;0;0;0;1;0;0;9,52976332996984;0,95763790261945
12;1;1;70;2;1;0;1;0;0;0;0;0;1;0;9,28878179828274;0,994022083486402
12;1;1;71;2;1;0;1;0;0;0;0;0;0;1;10,1921191740235;0,973215147013386
12;1;1;45;2;1;0;1;0;0;0;0;1;0;0;7,8935720735049;0,889064047809607
12;0;1;41;2;1;0;0;0;1;0;0;0;0;1;10,30808048541;0,882152980979117
12;1;1;71;2;1;0;1;0;0;0;0;1;0;0;9,54031535637857;0,989484376729532
12;1;1;44;3;0;0;1;0;0;0;0;1;0;0;9,7092047443429;0,806497147413205
12;1;1;57;4;1;0;1;0;0;0;0;0;1;0;9,79053792561742;0,908106830037767
12;0;1;56;2;1;0;0;0;0;1;0;0;1;0;9,47965478732441;0,943089429422442
12;0;1;46;1;1;0;0;0;0;1;0;0;1;0;10,138362026726;0,954185095637267
12;1;1;34;3;1;0;1;0;0;0;0;0;1;0;9,8559882214331;0,823431723976932
12;0;1;49;2;1;1;0;0;0;0;0;0;1;0;9,89188200645473;0,908640588952004
12;1;1;42;4;1;0;1;0;0;0;0;0;1;0;10,2618111367703;0,90572894482679
12;1;1;71;2;1;0;1;0;0;0;0;1;0;0;9,50136684567835;0,989484376729532
12;1;1;73;2;1;0;1;0;0;0;0;0;1;0;10,0085680289866;0,993045252862274
12;0;1;59;2;0;0;0;0;1;0;0;1;0;0;10,2870023956042;0,647167787196906
12;0;1;69;3;1;0;0;0;0;1;0;1;0;0;9,22084060704985;0,867125763347585
12;1;1;49;3;1;0;1;0;0;0;0;0;1;0;10,3756139271628;0,959151040691037
12;0;1;81;1;0;0;0;0;1;0;1;0;0;0;9,87950218978562;0,595909999290839
12;1;1;49;1;1;0;1;0;0;0;0;0;1;0;8,98657162526805;0,946063112973515
12;0;0;36;2;0;0;0;0;0;1;0;1;0;0;8,96639869798215;0,695506030851228
